
2020-03-15T05:30:45.743882Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.744045Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.744248Z	   94 Query	show create table `t2019100702`
2020-03-15T05:30:45.744514Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.744717Z	   94 Query	show fields from `t2019100702`
2020-03-15T05:30:45.745116Z	   94 Query	show fields from `t2019100702`
2020-03-15T05:30:45.745587Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t2019100702`
2020-03-15T05:30:45.745897Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.746033Z	   94 Query	use `zst`
2020-03-15T05:30:45.746244Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.746388Z	   94 Query	SHOW TRIGGERS LIKE 't2019100702'
2020-03-15T05:30:45.746774Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.746954Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.747086Z	   94 Query	show table status like 't2020'
2020-03-15T05:30:45.747428Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.747614Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.747787Z	   94 Query	show create table `t2020`
2020-03-15T05:30:45.747977Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.748270Z	   94 Query	show fields from `t2020`
2020-03-15T05:30:45.748899Z	   94 Query	show fields from `t2020`
2020-03-15T05:30:45.749896Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t2020`
2020-03-15T05:30:45.750374Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.750545Z	   94 Query	use `zst`
2020-03-15T05:30:45.750854Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.751227Z	   94 Query	SHOW TRIGGERS LIKE 't2020'
2020-03-15T05:30:45.752079Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.752293Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.752452Z	   94 Query	RELEASE SAVEPOINT sp
2020-03-15T05:30:45.760428Z	   94 Quit	
