sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 10
Report intermediate results every 10 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[1490s] threads: 10, tps: 928.37, reads: 12999.05, writes: 3713.97, response time: 24.90ms (99%), errors: 0.10, reconnects:  0.00
[1500s] threads: 10, tps: 918.94, reads: 12864.45, writes: 3675.86, response time: 27.56ms (99%), errors: 0.00, reconnects:  0.00
[1510s] threads: 10, tps: 916.79, reads: 12836.46, writes: 3668.16, response time: 28.15ms (99%), errors: 0.00, reconnects:  0.00
[1520s] threads: 10, tps: 909.00, reads: 12728.31, writes: 3635.70, response time: 29.70ms (99%), errors: 0.10, reconnects:  0.00
[1530s] threads: 10, tps: 958.80, reads: 13421.83, writes: 3834.41, response time: 28.63ms (99%), errors: 0.00, reconnects:  0.00
[1540s] threads: 10, tps: 915.20, reads: 12814.58, writes: 3661.49, response time: 26.88ms (99%), errors: 0.00, reconnects:  0.00
[1550s] threads: 10, tps: 824.80, reads: 11545.24, writes: 3298.51, response time: 32.24ms (99%), errors: 0.10, reconnects:  0.00
[1560s] threads: 10, tps: 884.60, reads: 12385.77, writes: 3538.99, response time: 30.84ms (99%), errors: 0.00, reconnects:  0.00
[1570s] threads: 10, tps: 949.70, reads: 13293.65, writes: 3799.38, response time: 27.36ms (99%), errors: 0.00, reconnects:  0.00
[1580s] threads: 10, tps: 936.71, reads: 13114.42, writes: 3746.44, response time: 26.66ms (99%), errors: 0.00, reconnects:  0.00
[1590s] threads: 10, tps: 879.05, reads: 12307.45, writes: 3515.52, response time: 31.41ms (99%), errors: 0.00, reconnects:  0.00
[1600s] threads: 10, tps: 875.84, reads: 12259.45, writes: 3503.56, response time: 29.81ms (99%), errors: 0.00, reconnects:  0.00
[1610s] threads: 10, tps: 956.26, reads: 13389.58, writes: 3825.15, response time: 25.49ms (99%), errors: 0.00, reconnects:  0.00
[1620s] threads: 10, tps: 939.63, reads: 13152.48, writes: 3758.44, response time: 32.73ms (99%), errors: 0.00, reconnects:  0.00
[1630s] threads: 10, tps: 595.51, reads: 8341.09, writes: 2382.73, response time: 43.62ms (99%), errors: 0.00, reconnects:  0.00

MySQL hang 住的表现
